incident_id,timestamp,resolved_at,region,device,incident_type,severity,mttr_minutes,status
INC-1043,2025-03-13 23:35:00,2025-03-14 00:18:00,eu-west-1,firewall-02,DDoS Suspected,High,43,Resolved
INC-1044,2025-03-13 10:13:00,2025-03-13 14:16:00,ap-southeast-1,switch-core-03,Firewall CPU Overload,Medium,243,Resolved
INC-1045,2025-03-14 08:02:00,2025-03-14 08:39:00,us-east-1,router-01,Interface Error Rate High,Critical,37,Resolved
INC-1046,2025-03-14 05:47:00,2025-03-14 07:54:00,eu-west-1,lb-02,MTU Mismatch,Medium,127,Resolved
INC-1047,2025-03-14 22:57:00,2025-03-14 23:11:00,eu-central-1,firewall-05,High Latency Spike,Critical,14,Resolved
INC-1048,2025-03-14 13:08:00,2025-03-14 14:45:00,ap-southeast-1,router-03,DDoS Suspected,Medium,97,Resolved
INC-1049,2025-03-15 21:15:00,2025-03-16 02:50:00,us-east-1,router-01,Interface Error Rate High,Low,335,Resolved
INC-1050,2025-03-15 19:47:00,2025-03-16 04:43:00,eu-central-1,firewall-05,BGP Route Flap,Low,536,Resolved
INC-1051,2025-03-16 05:47:00,2025-03-16 08:12:00,eu-west-1,switch-core-02,MTU Mismatch,Low,145,Resolved
INC-1052,2025-03-17 03:24:00,2025-03-17 05:23:00,ap-southeast-1,router-03,Firewall CPU Overload,High,119,Resolved
INC-1053,2025-03-17 11:19:00,2025-03-17 12:47:00,eu-west-1,firewall-02,BGP Route Flap,High,88,Resolved
INC-1054,2025-03-17 10:17:00,2025-03-17 12:59:00,us-east-1,router-01,DDoS Suspected,Medium,162,Resolved
INC-1055,2025-03-18 17:21:00,2025-03-18 21:56:00,eu-central-1,router-05,Packet Loss Detected,Medium,275,Resolved
INC-1056,2025-03-18 01:06:00,2025-03-18 02:09:00,ap-southeast-1,lb-03,Interface Error Rate High,High,63,Resolved
INC-1057,2025-03-18 03:24:00,2025-03-18 06:34:00,ap-southeast-1,firewall-03,DDoS Suspected,Medium,190,Resolved
INC-1058,2025-03-18 16:59:00,2025-03-18 17:59:00,us-east-1,firewall-01,Interface Error Rate High,Medium,60,Resolved
INC-1059,2025-03-19 19:20:00,2025-03-20 02:58:00,us-east-1,router-01,DDoS Suspected,Low,458,Resolved
INC-1060,2025-03-19 10:25:00,2025-03-19 13:09:00,eu-central-1,switch-core-05,Link Down,Medium,164,Resolved
INC-1061,2025-03-19 12:43:00,2025-03-19 17:43:00,eu-west-1,firewall-02,DDoS Suspected,Medium,300,Resolved
INC-1062,2025-03-19 09:18:00,2025-03-19 10:18:00,us-west-2,firewall-04,MTU Mismatch,Medium,60,Resolved
INC-1063,2025-03-19 14:28:00,2025-03-19 16:50:00,eu-central-1,lb-05,BGP Route Flap,Medium,142,Resolved
INC-1064,2025-03-20 21:05:00,2025-03-21 01:58:00,us-west-2,switch-core-04,Interface Error Rate High,Low,293,Resolved
INC-1065,2025-03-20 21:19:00,2025-03-21 03:19:00,us-east-1,firewall-01,BGP Route Flap,Low,360,Resolved
INC-1066,2025-03-20 15:39:00,2025-03-20 16:04:00,eu-west-1,router-02,Firewall CPU Overload,Critical,25,Resolved
INC-1067,2025-03-20 06:45:00,2025-03-20 18:34:00,us-west-2,lb-04,Firewall CPU Overload,Low,709,Resolved
INC-1068,2025-03-20 22:00:00,2025-03-20 23:53:00,us-west-2,router-04,MTU Mismatch,High,113,Resolved
INC-1069,2025-03-20 16:29:00,2025-03-20 18:28:00,eu-west-1,router-02,BGP Route Flap,High,119,Resolved
INC-1070,2025-03-21 21:33:00,2025-03-21 23:02:00,us-west-2,switch-core-04,Firewall CPU Overload,High,89,Resolved
INC-1071,2025-03-21 13:53:00,2025-03-22 00:29:00,eu-central-1,lb-05,Link Down,Low,636,Resolved
INC-1072,2025-03-22 20:17:00,2025-03-22 21:18:00,us-west-2,lb-04,BGP Route Flap,High,61,Resolved
INC-1073,2025-03-22 09:15:00,2025-03-22 13:17:00,ap-southeast-1,switch-core-03,Interface Error Rate High,Medium,242,Resolved
INC-1074,2025-03-22 04:09:00,2025-03-22 07:31:00,ap-southeast-1,firewall-03,MTU Mismatch,Low,202,Resolved
INC-1075,2025-03-23 10:34:00,2025-03-23 11:10:00,eu-west-1,lb-02,MTU Mismatch,Critical,36,Resolved
INC-1076,2025-03-24 18:44:00,2025-03-25 03:22:00,eu-west-1,router-02,MTU Mismatch,Low,518,Resolved
INC-1077,2025-03-24 09:48:00,2025-03-24 10:20:00,us-west-2,lb-04,MTU Mismatch,Critical,32,Resolved
INC-1078,2025-03-25 15:14:00,2025-03-25 20:59:00,eu-central-1,switch-core-05,MTU Mismatch,Low,345,Resolved
INC-1079,2025-03-25 21:43:00,2025-03-25 22:14:00,us-west-2,lb-04,Link Down,Critical,31,Resolved
INC-1080,2025-03-25 00:58:00,2025-03-25 12:04:00,us-west-2,lb-04,High Latency Spike,Low,666,Resolved
INC-1081,2025-03-25 14:11:00,2025-03-25 15:45:00,us-east-1,router-01,DDoS Suspected,Medium,94,Resolved
INC-1082,2025-03-25 10:21:00,2025-03-25 13:17:00,us-west-2,lb-04,DDoS Suspected,Medium,176,Resolved
INC-1083,2025-03-25 15:01:00,2025-03-25 15:41:00,us-west-2,router-04,Interface Error Rate High,High,40,Resolved
INC-1084,2025-03-26 00:15:00,2025-03-26 02:56:00,us-east-1,firewall-01,High Latency Spike,Low,161,Resolved
INC-1085,2025-03-26 15:42:00,2025-03-26 16:28:00,eu-central-1,router-05,BGP Route Flap,High,46,Resolved
INC-1086,2025-03-26 11:10:00,2025-03-26 15:26:00,us-west-2,router-04,Link Down,Medium,256,Resolved
INC-1087,2025-03-27 09:36:00,2025-03-27 14:33:00,us-east-1,lb-01,MTU Mismatch,Medium,297,Resolved
INC-1088,2025-03-27 03:44:00,2025-03-27 04:09:00,eu-west-1,switch-core-02,Packet Loss Detected,Critical,25,Resolved
INC-1089,2025-03-27 17:27:00,2025-03-28 01:22:00,eu-central-1,switch-core-05,Packet Loss Detected,Low,475,Resolved
INC-1090,2025-03-27 13:52:00,2025-03-27 14:55:00,eu-central-1,lb-05,Packet Loss Detected,Medium,63,Resolved
INC-1091,2025-03-28 14:45:00,2025-03-28 19:17:00,ap-southeast-1,firewall-03,MTU Mismatch,Medium,272,Resolved
INC-1092,2025-03-28 08:39:00,2025-03-28 12:25:00,eu-west-1,lb-02,Firewall CPU Overload,Medium,226,Resolved
INC-1093,2025-03-28 10:54:00,2025-03-28 17:28:00,us-west-2,firewall-04,Packet Loss Detected,Low,394,Resolved
INC-1094,2025-03-28 14:36:00,2025-03-28 20:45:00,ap-southeast-1,lb-03,Interface Error Rate High,Low,369,Resolved
INC-1095,2025-03-28 05:31:00,2025-03-28 07:54:00,us-east-1,firewall-01,Interface Error Rate High,Medium,143,Resolved
INC-1096,2025-03-29 22:56:00,2025-03-30 00:42:00,ap-southeast-1,switch-core-03,High Latency Spike,High,106,Resolved
INC-1097,2025-03-29 07:46:00,2025-03-29 11:13:00,eu-central-1,lb-05,Firewall CPU Overload,Low,207,Resolved
INC-1098,2025-03-30 14:50:00,2025-03-30 17:55:00,us-west-2,router-04,Packet Loss Detected,Medium,185,Resolved
